Norman SusDat ID	SMILES	MS_Ready_SMILES	selected
NS00010544	CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C	CCc1c([nH]c2c1C(=O)C(CC2)CN1CCOCC1)C	no
NS00010545	Fc4cc1c2N(/C=C(\C1=O)C(=O)O)N(COc2c4N3CCN(C)CC3)C	Fc1cc2c3n(cc(c2=O)C(=O)O)N(COc3c1N1CCN(C)CC1)C	no
NS00010546	CC(C)NCC(C1=C2C=CC=NC2=C(C=C1)O)O	CC(C)NCC(c1c2cccnc2c(cc1)O)O	no
NS00010547	O=C\1\C=C/[C@]4(/C(=C/1)CC[C@@H]2[C@@H]4[C@@H](O)C[C@@]3([C@@](O)(C(=O)CO)[C@H](O)C[C@@H]23)C)C	O=C1C=CC2(C(=C1)CCC1C2C(O)CC2(C(O)(C(=O)CO)C(O)CC12)C)C	no
NS00010548	CC(C)C12CCC(C=C1)(OO2)C	CC(C)C12CCC(C=C1)(OO2)C	no
NS00010549	CC1(C=CC2=CC(=C(C=C2O1)OC)OC)C	CC1(C=Cc2cc(c(cc2O1)OC)OC)C	no
NS00010550	CCC1=NC=C(N1CCNC(=S)OC)[N+](=O)[O-]	CCc1ncc(n1CCNC(=S)OC)N(=O)=O	no
NS00010551	O=C(O)C(O)CCCCCCC\C=C	O=C(O)C(O)CCCCCCCC=C	no
NS00010552	C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2	c1ccc(cc1)NC(=O)Nc1ccccc1	no
NS00010553	CCC(C1=CC=C(C=C1)CC(C)C)C(=O)O	CCC(c1ccc(cc1)CC(C)C)C(=O)O	no
NS00010554	CCCCC([C@@H](CC[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O)(F)F	CCCCC(C(CCC1C(C(CC1=O)O)C/C=C\CCCC(=O)O)O)(F)F	no
NS00010555	CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2	CC(C)(c1cnccc1)C(=O)c1cnccc1	no
NS00010556	O=C(OCC(C)C)N1C(CCO)CCCC1	O=C(OCC(C)C)N1C(CCO)CCCC1	no
NS00010557	O=C\C=C\C(=O)CC	O=C/C=C/C(=O)CC	no
NS00010558	OC(=O)CCCCCCCC=CC=CC=CC=CCC	OC(=O)CCCCCCC/C=C/C=C/C=C/C=C\CC	no
NS00010559	O=C(N(c1ccccc1)C)NC(c2ccccc2)(C)C	O=C(N(c1ccccc1)C)NC(c1ccccc1)(C)C	no
NS00010560	O=C/1OCC(=C\1)\[C@@H]2[C@@]4([C@](O)(CC2)[C@@H]5CC[C@@H]3C[C@@H](O)CC[C@]3(C=O)[C@H]5CC4)C	O=C1OCC(=C1)C1C2(C(O)(CC1)C1CCC3CC(O)CCC3(C=O)C1CC2)C	no
NS00010561	O=C(OCCCCCCCCC=CCC=CC)C	O=C(OCCCCCCCC/C=C/C/C=C/C)C	no
NS00010562	C1CN(CCC1(C2=CC=CC=C2)C(=O)O)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4	C1CN(CCC1(c1ccccc1)C(=O)O)CCC(C#N)(c1ccccc1)c1ccccc1	no
NS00010563	C[C@@]4(C)O[C@@H](Oc3ccc2C(\O)=C(\NC(=O)c1ccc(O)c(C\C=C(/C)C)c1)C(=O)Oc2c3C)[C@H](O)[C@H](OC(N)=O)[C@H]4OC	CC1(C)OC(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)C(O)C(OC(=O)N)C1OC	no
NS00010564	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3	Cc1c(c(=O)n(n1C)c1ccccc1)NC(=O)c1cnccc1	no
NS00010565	CCC1(C(=O)NC(=O)N(C1=O)C(=O)C2=CC=CC=C2)C3=CC=CC=C3	CCC1(C(=O)NC(=O)N(C1=O)C(=O)c1ccccc1)c1ccccc1	no
NS00010566	CC(C)(C)Nc1[nH]c(=O)n(c(=O)n1)C	CC(C)(C)Nc1[nH]c(=O)n(c(=O)n1)C	no
NS00010567	CCc1cccc(c1N(C(C)C(=O)O)C(=O)CS(=O)(=O)O)C	CCc1cccc(c1N(C(C)C(=O)O)C(=O)CS(=O)(=O)O)C	no
NS00010568	CCCCC(=O)NC1(CCCC1)C(=O)NCc2ccc(cc2)c3ccccc3c4[nH]nnn4	CCCCC(=O)NC1(CCCC1)C(=O)NCc1ccc(cc1)c1ccccc1c1[nH]nnn1	no
NS00010569	O=C(O)C(c1ccc(cc1)CC(C(=O)O)C)C	O=C(O)C(c1ccc(cc1)CC(C(=O)O)C)C	no
NS00010570	C1=NC3=C([N]1C2OC(CO)C(C2O)O)N=CN=C3N	c1nc2c(n1C1OC(CO)C(C1O)O)ncnc2N	no
NS00010571	[C@H]1(O[C@@H]([C@@H](O)[C@H]1O)C)[N]2C3=C(N=C2)C(=NC=N3)N	C1(OC(C(O)C1O)C)n1c2c(nc1)c(ncn2)N	no
NS00010572	C1=CC=CC3=C1C2=CC=NC=C2[NH]3	c1cccc2c1c1ccncc1[nH]2	no
NS00010573	C(NC1=NC(=NC(=N1)OC)NC(C)C)C	C(Nc1nc(nc(n1)OC)NC(C)C)C	no
NS00010574	C1=CC=CC2=C1C(=NS2)NCC	c1cccc2c1c(ns2)NCC	no
